image,description,display name,category,image_path,img_ok
33854.jpg,"The puma Janine Dance casual shoes for women are designed for working out. These good-looking shoes can be worn for your dance class, workouts or just for casual outings. Either way you're a style winner!   Upper Synthetic leather upper with glossy foam stripes on the sides for style puma logo on the toe box and collar Padded collar and tongue with embossed branding Slip on style for ease of wear   Midsole OrthoLite sockliner for more comfort, material regeneration, air circulation and anti-microbial function   Outsole TPR outsole with textured patches on the forefoot and heel Suction point with branding on the toe mound   shoe care Wipe surface with a damp, clean cloth to remove dust Do not store in direct sunlight",Puma Women Janine Dance White Shoes,Casual Shoes,33854.jpg,True
7804.jpg,"There&rsquo s no keeping a low profile with these shoes from puma. The simple design and durable construction goes well with everything. These Benecio shoes come with a leather upper for instant style and durability, cushioned midsole for comfort and stability and rubber outsole for maximum traction - perfect for urban culture. Upper Crinkled-leather upper for style and comfort Padded collar and tongue for enhanced comfort and snug Fit Leather formstripe detail on the sides Mid ankle support for comfort to the lower leg Brand name embossed on the heel guard and ankle for style Midsole Breathable fabric lining and a cushioned footbed for all-day comfort. TPU and EVA midsole combined to give you support and ample cushioning Outsole Textured durable rubber outsole for maximum traction and grip",Puma Men's Benecio Mid Leather Black White Shoe,Casual Shoes,7804.jpg,True
10628.jpg,"Round toed blue shoes, mid tops, central lace-ups Mildly padded inner Textured sole",Carlton London Men CL Casual Navy Blue Casual Shoes,Casual Shoes,10628.jpg,True
32554.jpg,"If you love those dashing divas in the playboy centrefolds, you'll love the cool, casual range of footwear from this cheeky brand! Suitable for the suitably dashing young man-about-town, wear these to impress the girls, while keeping your feet nice and comfy. We recommend wearing these shoes with a clean-look pair of denims from lee and a cool printed tee to leave no doubt about your fashion credibility.   Upper Leather upper with perforated side panels and leather inner for enhanced breathability Patent leather overlays on the side panels, with branding and collar Padded tongue and collar for all-day comfort Lace-ups through metal eyelets for a stylish snug Fit   Midsole PU midsole for lightweight comfort Mildly padded leather footbed for all-day comfort   Outsole TPU outsole with upraised lugs and branding on the fore-foot and heel for durability, grip and traction   shoe care Wipe surface with a dry, clean cloth to remove dust and dirt Do not store in direct sunlight",Playboy Men Black Shoes,Casual Shoes,32554.jpg,True
47644.jpg,"Style Note carlton london gives simple slip-ons a season update. We simply love this simply designed pair. Style them with tonal chinos, a tee and a blazer for off-duty occasions. A super-comfy shoe with a slip-on styling, it's just right for this summer (which will last upto the next summer!) Product Details Brown slip-on style loafers with stitch detail along the seams of the toe box Soft lining and footbed Tough midsole and a TPU outsole, upraised at the heel Material and Care Leather Wipe with a clean cloth to remove dust, grime or dirt Do not store in direct sunlight",Carlton London Men Brown Shoes,Casual Shoes,47644.jpg,True
5696.jpg,Get ready to take relaxed style to the next level with these genesis shoes from skechers. These slip on dress casual loafers are great for casual outings and look fabulous when teamed with jeans and tees for a cool laidback look. Upper   Smooth leather upper with soft suede overlays for comfort and protection  Fabric overlays on the toe counter and around collar  White stitch detailing  Embossed brand logo below collar on the back  Rawhide accents on the back panel  Plain venetian front  Elasticated inserts on the sides for eady insertion and removal of the feet  Soft fabric shoe lining   Midsole   Cushioned insole for step-in comfort  Shock absorbing midsole for greater cushioing of the feet   Outsole   Wrap-under leather and suede midfoot panel  Split design rubber outsole  TPR lugs for greater traction  Flexible traction outsole for greater flexibility of the feet   Shoe care Use a dry brush to dust off the dirt Use a branded leather polish,Skechers Men Genesis Brown Shoe,Casual Shoes,5696.jpg,True
22723.jpg,"If you want the ultimate sensation of comfort for your feet, then these nike Tonki canvas shoes are perfect for you. Designed for the super-stylish, these shoes have a great colour combination of red and black. Featuring texture and overlay details and mid-height ankle, the nike Tonki shoes are a great add-on to the wardrobe. Team these with jeans and tees for a cool casual look.   Upper  Canvas upper for a great casual look and durability Central lacing system for a snug, customised Fit Highly padded mesh collar for all-day comfort Contrast panel on heel for great casual style Embroidered branding on back heel and brand tab on tongue   Midsole  Autoclave construction midsole for enhanced cushioning EVA injected midsole for lightweight feel   Outsole  Solid rubber outsole with herringbone pattern for superior grip   shoe care  Wipe surface with soft, clean, damp cloth to remove dust Do not machine wash",Nike Men Toki Canvas Red Casual Shoes,Casual Shoes,22723.jpg,True
17712.jpg,"A lightweight casual shoe from vans in neutral grey &ndash  great for every day wear. This shoe ticks all the boxes &ndash  practical, stylish and also ecologically friendly. The uppers of this Vans casual shoe are made of hemp &ndash  similar in feel to cotton canvas but hemp is incredibly easy to grow making it a smart sustainable choice for those trying to conserve the earth's resources.  Uppers Canvas upper for durability and comfort Lace-ups for a snug Fit Brand tab on the side seam and brand name on the back, on the lasting Cushioned footbed for all day comfort  Midsole EVA midsole for better shock absorption  Outsole Rubber outsole for durability Reverse waffle pattern for better grip  Shoe care Wipe surface with soft, clean cloth or use a brush to remove dust Do not use a drier or store in direct sunlight",Vans Women E-Street Grey Casual Shoes,Casual Shoes,17712.jpg,True
20814.jpg,"For the man who is smart enough to prefer quality along with a sporty feel, this pair from red tape is the right choice. Sleek design coupled with a comfort enhancing cut, this shoe looks every bit the understated sport shoe you always craved for. Wear this with washed black jeans from wrangler and your favourite t-shirt. This off-duty ensemble is perfect to wear for coffee dates in the evenings.   Upper  Synthetic leather upper with contrasting overlay lining along the midfoot and back foot Overlays on the toe box, midfoot and collar Central lacing system Padded tongue for comfort Padded and removable sockliner to accommodate an orthotic   Outsole  TPU outsole with herringbone patterned grooves   Shoe care  Wipe leather surface with dry, clean cloth to remove dust Use a branded leather conditioner to maintain shine Use a suede brush to dust suede surface Do not store in direct sunlight  ",Redtape Men Sporty Look White Casual Shoe,Casual Shoes,20814.jpg,True
20683.jpg,"This buckaroo Nieves casual shoe references the brand's signature rugged style. True to its origin from the Mexican plains, this shoe is the essence of man-about-town nonchalance. It pays tribute to the Texas cowboy lifestyle with its stitch detailing on the upper leather. Pair it with distressed jeans, casual check shirt and a tonal belt to recapture the masculine flamboyance of the Wild West. Upper Full grain leather upper for added durability and style Stitched leather overlay around the foot for better support Lace-up system for a snug, customized Fit Lightly padded collar and tongue for in-step comfort and a snug fit Leather lining to absorb moisture and keep feet dry Well-cushioned footbed for all-day comfort Brand logo embossed on lateral side of the heel Pull loop at the heel collar Midsole EVA midsole with shock absorbers Outsole Lightweight, slip-resistant TPR outsole with patterned grooves for enhanced grip and traction Curved midfoot for ergonomic comfort and style Shoe care Wipe leather surface with dry, clean cloth to remove dust Use a branded leather conditioner Do not store in direct sunlight",Buckaroo Men Nieves Brown Casual Shoes,Casual Shoes,20683.jpg,True
19369.jpg,"Cut a dash with these casual shoes for the cosmopolitan male from red tape. Styled in cool sophisticated blue, wear them with stone washed denims, a casual open neck shirt and a stylish hide jacket.  Upper High quality leather upper for protection, comfort and durability Stitch detailing for extra style Lace-ups for snug Fit Textile lined collar and tongue for greater comfort Removable sockliner to accommodate an orthotic  Midsole PU midsole for lightwieght comfort  Outsole PU outsole with circular lugs for grip  shoe care Use a branded shoe polish to keep your footwear clean Do not store under sunlight",Redtape Men Stone Wall Blue Casual Shoes,Casual Shoes,19369.jpg,True
